;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
156;Mediterranean;Sempervivum arachnoideum;0.27;Crassulaceae;230921-02;23/09/2021;Fellfield;99;86;86.87;82;95.35;0;0;94.19;1.16;214.0733974;370
157;Mediterranean;Sempervivum arachnoideum;0.27;Crassulaceae;230921-02;23/09/2021;Snowbed;100;85;85;76;89.41;0;0;11.76;77.65;259.4943182;347
158;Mediterranean;Sempervivum arachnoideum;0.27;Crassulaceae;230921-04;23/09/2021;Fellfield;100;93;93;90;96.77;0;0;96.77;0;211.4305556;348.5
159;Mediterranean;Sempervivum arachnoideum;0.27;Crassulaceae;230921-04;23/09/2021;Snowbed;100;87;87;63;72.41;0;0;11.49;60.92;260.0833333;355
160;Temperate;Sesleria caerula;NA;Poaceae;310821-03;31/08/2021;Fellfield;100;75;75;75;100;93.33;93.33;5.33;1.33;25.07852564;267.75
161;Temperate;Sesleria caerula;NA;Poaceae;310821-03;31/08/2021;Snowbed;99;69;69.7;67;97.1;36.23;36.23;1.45;43.48;195.434375;304.625
162;Temperate;Silene acaulis;1.45;Caryophyllaceae;130921-07;13/09/2021;Fellfield;100;85;85;52;61.18;10.59;10.59;7.06;43.53;303.9166667;1601.5
163;Temperate;Silene acaulis;1.45;Caryophyllaceae;130921-07;13/09/2021;Snowbed;100;89;89;29;32.58;3.37;3.37;1.12;23.6;NA;NA
164;Temperate;Silene acaulis;1.45;Caryophyllaceae;140921-03;14/09/2021;Fellfield;99;65;65.66;23;35.38;1.54;1.54;6.15;27.69;NA;NA
165;Temperate;Silene acaulis;1.45;Caryophyllaceae;140921-03;14/09/2021;Snowbed;100;83;83;29;34.94;2.41;2.41;0;32.53;288;692.5
166;Temperate;Silene ciliata;0.45;Caryophyllaceae;140921-09;14/09/2021;Fellfield;100;90;90;79;87.78;20;20;67.78;0;202.75625;311.375
167;Temperate;Silene ciliata;0.45;Caryophyllaceae;140921-09;14/09/2021;Snowbed;100;82;82;61;74.39;3.66;3.66;50;6.1;253.13125;267
168;Mediterranean;Silene ciliata;0.47;Caryophyllaceae;230921-01;23/09/2021;Fellfield;100;93;93;84;90.32;2.15;2.15;86.02;2.15;196.5291667;257.875
169;Mediterranean;Silene ciliata;0.47;Caryophyllaceae;230921-01;23/09/2021;Snowbed;100;87;87;82;94.25;0;0;77.01;8.05;242.6020833;192.75
170;Mediterranean;Silene ciliata;0.47;Caryophyllaceae;230921-03;23/09/2021;Fellfield;100;98;98;88;89.8;0;0;87.76;2.04;201.2291667;278.875
171;Mediterranean;Silene ciliata;0.47;Caryophyllaceae;230921-03;23/09/2021;Snowbed;100;99;99;95;95.96;1.01;1.01;82.83;3.03;238.934232;176
