species;community;incubator;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Phyteuma orbiculare;Temperate;Fellfield;7;35;68.62666667;19.87;0;0.2;0.005714286;0;NA;NA;NA;Campanulaceae;Not_specialist;Late_season
Phyteuma orbiculare;Temperate;Snowbed;10;28;57.92;35;0;0.178571429;0.006377551;0.178571429;NA;NA;NA;Campanulaceae;Not_specialist;Late_season
Plantago alpina;Temperate;Fellfield;144;144;90;100;0.291666667;0.701388889;0.004870756;0;173.375641;346.5;19.3;Plantaginaceae;Specialist;Biphasic
Plantago alpina;Temperate;Snowbed;141;142;87.71428571;99.28571429;0.007042254;0.950704225;0.0066951;0.669014085;234.9321429;238.6428571;19.3;Plantaginaceae;Specialist;Biphasic
Plantago holosteum;Mediterranean;Fellfield;294;299;99.66666667;98.31916667;0.923076923;0.060200669;0.00020134;0.023411371;8.811793204;88.625;44.045;Plantaginaceae;Not_specialist;Autumn
Plantago holosteum;Mediterranean;Snowbed;292;296;98.66666667;98.62083333;0.743243243;0.226351351;0.000764701;0.14527027;42.53928859;66;44.045;Plantaginaceae;Not_specialist;Autumn
Ranunculus carianthiacus;Temperate;Fellfield;4;15;100;26.67;0;0;0;0;NA;NA;NA;Ranunculaceae;Specialist;Sporadic_low
Ranunculus carianthiacus;Temperate;Snowbed;0;15;100;0;0;0;0;0;NA;NA;NA;Ranunculaceae;Specialist;Sporadic_low
Salix fontqueri;Temperate;Fellfield;0;5;100;0;0;0;0;0;NA;NA;4.14;Salicaceae;Specialist;Sporadic_low
Salix fontqueri;Temperate;Snowbed;0;5;100;0;0;0;0;0;NA;NA;4.14;Salicaceae;Specialist;Sporadic_low
Saxifraga conifera;Temperate;Fellfield;86;92;58.23714286;93.12857143;0.72826087;0.010869565;0.000118147;0;56.03935331;315.2857143;2.275;Saxifragaceae;Specialist;Biphasic
Saxifraga conifera;Temperate;Snowbed;68;97;61;66.62857143;0.06185567;0;0;0;327.76;1275.9;2.275;Saxifragaceae;Specialist;Biphasic
Saxifraga paniculata;Temperate;Fellfield;94;97;97;96.9125;0;0.969072165;0.009990435;0;222.0175886;506.5;3.464166667;Saxifragaceae;Not_specialist;Late_season
Saxifraga paniculata;Temperate;Snowbed;53;89;89;57.375;0;0.033707865;0.00037874;0;283.5198413;547.5;3.464166667;Saxifragaceae;Not_specialist;Late_season
Scilla verna;Temperate;Fellfield;10;96;96;10.565;0;0;0;0;NA;NA;61.25;Asparagaceae;Not_specialist;Late_season
Scilla verna;Temperate;Snowbed;28;98;98;28.7075;0;0;0;0;NA;NA;61.25;Asparagaceae;Not_specialist;Late_season
Sedum album;Temperate;Fellfield;0;97;97;0;0;0;0;0;NA;NA;1.42;Crassulaceae;Not_specialist;Sporadic_low
Sedum album;Temperate;Snowbed;0;94;94;0;0;0;0;0;NA;NA;1.42;Crassulaceae;Not_specialist;Sporadic_low
Sedum anglicum;Mediterranean;Fellfield;149;204;81.6;71.626;0.5;0.137254902;0.000672818;0.073529412;126.0109568;630.8888889;1.107;Crassulaceae;Specialist;Biphasic
Sedum anglicum;Mediterranean;Snowbed;116;229;91.6;50.364;0.35371179;0.013100437;5.72E-05;0;83.57222222;331.7;1.107;Crassulaceae;Specialist;Biphasic
Sedum brevifolium;Mediterranean;Fellfield;93;208;83.567;41.426;0.360576923;0.081730769;0.000392936;0;75.04807692;357.625;0.639;Crassulaceae;Not_specialist;Biphasic
Sedum brevifolium;Mediterranean;Snowbed;87;233;95.132;38.353;0.266094421;0.004291845;1.84E-05;0;84.89285714;244.25;0.639;Crassulaceae;Not_specialist;Biphasic
Sempervivum arachnoideo;Mediterranean;Fellfield;172;179;89.95875;95.7875;0;0.944134078;0.005274492;0;212.7519765;360.125;2.615;Crassulaceae;Not_specialist;Late_season
Sempervivum arachnoideo;Mediterranean;Snowbed;139;172;86;81.2225;0;0;0;0;259.7467532;344.6428571;2.615;Crassulaceae;Not_specialist;Late_season
Sesleria caerula;Temperate;Fellfield;90;90;73.044;100;0.777777778;0.166666667;0.001851852;0;60.69615385;274.9;NA;Poaceae;Not_specialist;Biphasic
Sesleria caerula;Temperate;Snowbed;82;84;67.734;97.5;0.297619048;0.130952381;0.001558957;0.130952381;206.2475;312;NA;Poaceae;Not_specialist;Biphasic
Silene acaulis;Temperate;Fellfield;75;150;75.27125;47.96;0.066666667;0.06;4.00E-04;0;303.9166667;1595.166667;15;Caryophyllaceae;Specialist;Late_season
Silene acaulis;Temperate;Snowbed;58;172;86;33.95625;0.029069767;0.023255814;0.000135208;0.023255814;288;684.5;15;Caryophyllaceae;Specialist;Late_season
Silene ciliata;Mediterranean;Fellfield;172;191;95.5;90.03375;0.010471204;0.869109948;0.004550314;0;198.8791667;272.8125;18.7;Caryophyllaceae;Specialist;Early_season
Silene ciliata;Mediterranean;Snowbed;177;186;93;94.99375;0.005376344;0.822580645;0.004422477;0.091397849;240.7681577;185.1875;18.7;Caryophyllaceae;Specialist;Early_season
Silene ciliata;Temperate;Fellfield;174;188;94;92.51125;0.095744681;0.829787234;0.004413762;0;210.8711806;411.375;17.9;Caryophyllaceae;Specialist;Early_season
Silene ciliata;Temperate;Snowbed;158;182;91;86.785;0.016483516;0.532967033;0.00292839;0.21978022;255.7920139;298.625;17.9;Caryophyllaceae;Specialist;Early_season
Solidago virgaurea;Mediterranean;Fellfield;234;234;79.78583333;100;0.594017094;0.405982906;0.00173497;0.004273504;67.97626263;158.0833333;33.455;Asteraceae;Not_specialist;Biphasic
Solidago virgaurea;Mediterranean;Snowbed;204;211;73.3875;96.93;0.08056872;0.867298578;0.00411042;0.663507109;228.536358;237.9583333;33.455;Asteraceae;Not_specialist;Biphasic
Spergula morisonii;Mediterranean;Fellfield;106;156;69.732;64.586;0.570512821;0.076923077;0.000493097;0.064102564;133.4696522;1310.9375;9.736;Caryophyllaceae;Not_specialist;Autumn
Spergula morisonii;Mediterranean;Snowbed;104;171;76.468;62.122;0.578947368;0.029239766;0.000170993;0.029239766;34.66280284;542.2142857;9.736;Caryophyllaceae;Not_specialist;Autumn
Thymus praecox;Mediterranean;Fellfield;211;213;71;99.1825;0.666666667;0.295774648;0.001388613;0;73.92258725;201.375;8.528;Lamiaceae;Not_specialist;Biphasic
Thymus praecox;Mediterranean;Snowbed;232;234;78.33333333;99.02;0.495726496;0.076923077;0.000328731;0.012820513;135.9208742;245.875;8.528;Lamiaceae;Not_specialist;Biphasic
Thymus praecox;Temperate;Fellfield;188;192;76.8;97.795;0.463541667;0.453125;0.002360026;0.005208333;135.7089848;316.3;5.84;Lamiaceae;Not_specialist;Biphasic
Thymus praecox;Temperate;Snowbed;185;189;77.917;98.037;0.005291005;0.19047619;0.001007811;0;267.8429167;404;5.84;Lamiaceae;Not_specialist;Biphasic
