species;family;mountain;code;incubator;petridish;petricode;total;viable;date;germinated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;10/05/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;17/05/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;24/05/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;31/05/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;06/06/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;07/06/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;14/06/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;22/06/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;28/06/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;05/07/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;12/07/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;19/07/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;26/07/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;01/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;08/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;08/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
