species;accession;code;incubator;petridish;mgr;syn
Euphrasia salisburgensis;300921-01;300921-01;Snowbed;4;;
Festuca hystrix;130921-16;130921-16;Fellfield;1;0.01870187;0.7720588
Festuca hystrix;130921-16;130921-16;Snowbed;1;0.006951341;0.3406593
Festuca hystrix;300821-01;300821-01;Fellfield;1;0.048192771;0.5714286
Festuca hystrix;300821-01;300821-01;Snowbed;1;0.026143791;0.5
Festuca rubra;310821-02;310821-02;Fellfield;1;0.004115226;
Festuca summilusitana;240821-02;240821-02;Fellfield;1;0.040669856;0.4705882
Festuca summilusitana;240821-02;240821-02;Fellfield;2;0.044973545;0.4779412
Festuca summilusitana;240821-02;240821-02;Fellfield;3;0.045454545;0.4857143
Festuca summilusitana;240821-02;240821-02;Fellfield;4;0.035714286;0.5333333
Festuca summilusitana;240821-02;240821-02;Snowbed;1;0.028225806;0.8571429
Festuca summilusitana;240821-02;240821-02;Snowbed;2;0.021390374;0.65
Festuca summilusitana;240821-02;240821-02;Snowbed;3;0.037414966;0.3636364
Festuca summilusitana;240821-02;240821-02;Snowbed;4;0.030405405;0.8888889
Festuca summilusitana;240821-02;240821-02b;Fellfield;5;0.005164447;0.4678363
Festuca summilusitana;240821-02;240821-02b;Fellfield;6;0.005280073;0.687747
Festuca summilusitana;240821-02;240821-02b;Snowbed;5;0.003833145;0.6691176
Festuca summilusitana;240821-02;240821-02b;Snowbed;6;0.004118051;0.8888889
Festuca summilusitana;250821-02;250821-02;Fellfield;1;0.030805687;0.5897436
Festuca summilusitana;250821-02;250821-02;Fellfield;2;0.028037383;0.8333333
Festuca summilusitana;250821-02;250821-02;Fellfield;3;0.02739726;0.3928571
Festuca summilusitana;250821-02;250821-02;Fellfield;4;0.029411765;0.5833333
Festuca summilusitana;250821-02;250821-02;Snowbed;1;0.014477766;0.5054945
Festuca summilusitana;250821-02;250821-02;Snowbed;2;0.028301887;0.8666667
Festuca summilusitana;250821-02;250821-02;Snowbed;3;0.013861386;0.2857143
Festuca summilusitana;250821-02;250821-02;Snowbed;4;0.017118402;0.8333333
Festuca summilusitana;250821-02;250821-02b;Fellfield;5;0.004847016;0.875
Festuca summilusitana;250821-02;250821-02b;Fellfield;6;0.004727544;0.6140351
Festuca summilusitana;250821-02;250821-02b;Snowbed;5;0.003923492;0.7583333
Festuca summilusitana;250821-02;250821-02b;Snowbed;6;0.003994361;0.7720588
Gentiana verna;130921-06;130921-06;Fellfield;1;0.004484305;1
Gentiana verna;130921-06;130921-06;Fellfield;2;0.004570384;0.1
Gentiana verna;130921-06;130921-06;Fellfield;3;0.004784689;
Gentiana verna;130921-06;130921-06;Fellfield;4;0.004219409;
Gentiana verna;130921-06;130921-06;Snowbed;1;0.004225352;0.3333333
Gentiana verna;130921-06;130921-06;Snowbed;2;0.0041841;0.6666667
Gentiana verna;130921-06;130921-06;Snowbed;3;0.004310345;
Gentiana verna;130921-06;130921-06;Snowbed;4;0.004310345;
Gentiana verna;140921-06;140921-06;Fellfield;1;;
Gentiana verna;140921-06;140921-06;Fellfield;2;0.004219409;
Gentiana verna;140921-06;140921-06;Fellfield;3;;
Gentiana verna;140921-06;140921-06;Fellfield;4;;
Gentiana verna;140921-06;140921-06;Snowbed;1;;
Gentiana verna;140921-06;140921-06;Snowbed;2;0.004444444;
Gentiana verna;140921-06;140921-06;Snowbed;3;;
Gentiana verna;140921-06;140921-06;Snowbed;4;;
Gentianella campestris;300921-03;300921-03;Fellfield;1;;
Gentianella campestris;300921-03;300921-03;Fellfield;2;;
Gentianella campestris;300921-03;300921-03;Fellfield;3;;
Gentianella campestris;300921-03;300921-03;Fellfield;3;;
Gentianella campestris;300921-03;300921-03;Fellfield;4;;
Gentianella campestris;300921-03;300921-03;Snowbed;1;;
Gentianella campestris;300921-03;300921-03;Snowbed;2;;
Gentianella campestris;300921-03;300921-03;Snowbed;3;;
Gentianella campestris;300921-03;300921-03;Snowbed;4;;
Gypsophila repens;300821-10;300821-10;Fellfield;1;0.004559271;0.21904762
Gypsophila repens;300821-10;300821-10;Fellfield;2;0.005599104;0.22222222
Gypsophila repens;300821-10;300821-10;Fellfield;3;0.004598406;0.06666667
Gypsophila repens;300821-10;300821-10;Fellfield;4;0.005939754;0.20879121
Gypsophila repens;300821-10;300821-10;Snowbed;1;0.003333889;0.73157895
Gypsophila repens;300821-10;300821-10;Snowbed;2;0.003442341;0.41758242
Gypsophila repens;300821-10;300821-10;Snowbed;3;0.003479853;0.29824561
Gypsophila repens;300821-10;300821-10;Snowbed;4;0.00355366;0.72105263
Gypsophila repens;310821-08;310821-08;Fellfield;1;0.004475579;0.29249012
Gypsophila repens;310821-08;310821-08;Fellfield;2;0.004180456;0.36956522
Gypsophila repens;310821-08;310821-08;Fellfield;3;0.006164192;0.20779221
Gypsophila repens;310821-08;310821-08;Fellfield;4;0.004700855;0.1991342
