community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Neochischkinia truncatula;Poaceae;240821-07;24/08/2021;Snowbed;0.58;150;139;93.5;102;64.905;53.445;11.46;0;10.415;NA;NA;0.038855;0.6505
Mediterranean;Neochischkinia truncatula;Poaceae;250821-03;25/08/2021;Fellfield;0.58;150;133;90.5;95;63.59;63.005;0;0.59;0;NA;NA;0.0415;0.9655
Mediterranean;Neochischkinia truncatula;Poaceae;250821-03;25/08/2021;Snowbed;0.58;147;126;85.785;76;47.465;44.54;1.165;1.765;0;NA;NA;0.026215;0.271
Temperate;Pedicularis pyrenaica;Orobanchaceae;130921-04;13/09/2021;Fellfield;0.09;100;42;42;22;52.38;0;52.38;0;0;203.6666667;378.3333333;0.0048;0.363
Temperate;Pedicularis pyrenaica;Orobanchaceae;130921-04;13/09/2021;Snowbed;0.09;100;58;58;24;41.38;0;36.21;5.17;36.21;249.45;334;0.00423;0.699
Temperate;Pedicularis pyrenaica;Orobanchaceae;310821-04;31/08/2021;Fellfield;0.09;100;77;77;23;29.87;0;29.87;0;0;NA;NA;0.0046;0.257
Temperate;Pedicularis pyrenaica;Orobanchaceae;310821-04;31/08/2021;Snowbed;0.09;100;90;90;21;23.33;0;22.22;1.11;22.22;NA;NA;0.00431;0.844
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;110821-02;11/08/2021;Fellfield;0.71;100;69;69;68;98.55;94.2;4.35;0;0;31.27586806;381.625;0.0216;0.419
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;110821-02;11/08/2021;Snowbed;0.71;100;61;61;61;100;90.16;9.84;0;9.84;29.28945313;240.625;0.0272;0.582
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;120821-05;12/08/2021;Fellfield;0.71;24;7;29.17;6;85.71;71.43;14.29;0;14.29;49.27604167;521.75;0.15;0.167
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;120821-05;12/08/2021;Snowbed;0.71;24;17;70.83;17;100;64.71;35.29;0;35.29;134.9196429;316.5;0.0097;0.411
