species;code;incubator;petridish;total;viable;viablePER;germPER;Mid_November;Wintergerm;Mid_June;Mid_September;t50lm;HS;coldstratgerm;Uncertainty
Arenaria erinacea;300821-08;Fellfield;3;24;23;95.83;21.74;21.74;0;0;0;NA;NA;0;0.971
Arenaria erinacea;300821-08;Fellfield;4;25;25;100;16;16;0;0;0;NA;NA;0;1
Arenaria erinacea;300821-08;Snowbed;1;25;24;96;0;0;0;0;0;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;2;25;25;100;4;0;0;0;4;NA;NA;100;0
Arenaria erinacea;300821-08;Snowbed;3;25;25;100;4;4;0;0;0;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;4;25;23;92;4.35;4.35;0;0;0;NA;NA;0;0
Arenaria moehringioides;140921-02;Fellfield;1;20;19;95;47.37;0;0;42.11;5.26;NA;NA;100;2.503
Arenaria moehringioides;140921-02;Fellfield;2;20;18;90;50;0;0;38.89;11.11;272;1076.5;100;2.059
Arenaria moehringioides;140921-02;Fellfield;3;20;15;75;40;13.33;0;26.67;0;NA;NA;66.68;1.918
Arenaria moehringioides;140921-02;Snowbed;1;20;14;70;42.86;0;21.43;0;21.43;NA;NA;100;1.792
Arenaria moehringioides;140921-02;Snowbed;2;20;16;80;18.75;0;12.5;0;6.25;NA;NA;100;0.918
Arenaria moehringioides;140921-02;Snowbed;3;20;14;70;50;0;21.43;0;28.57;294;783.5;100;2.522
Armeria cantabrica;130921-15;Fellfield;1;25;21;84;80.95;4.76;0;19.05;57.14;281.17;1223.5;94.12;3.293
Armeria cantabrica;130921-15;Fellfield;2;21;17;80.95;100;0;0;29.41;70.59;241.8;674.5;100;1.736
Armeria cantabrica;130921-15;Fellfield;3;22;17;77.27;100;0;0;70.59;29.41;222.9;452.5;100;2.89
Armeria cantabrica;130921-15;Fellfield;4;23;16;69.57;93.75;0;0;31.25;62.5;261.75;972;100;2.923
Armeria cantabrica;130921-15;Snowbed;1;25;23;92;95.65;0;34.78;4.35;56.52;273.83;468.5;100;2.607
Armeria cantabrica;130921-15;Snowbed;2;24;19;79.17;100;0;0;0;100;285;753;100;2.866
Armeria cantabrica;130921-15;Snowbed;3;23;19;82.61;84.21;0;5.26;0;78.95;280.25;675.5;100;2.656
Armeria cantabrica;130921-15;Snowbed;4;25;17;68;100;0;17.65;0;82.35;256.94;335;100;2.012
Armeria cantabrica;140921-07;Fellfield;1;11;4;36.36;100;0;0;75;25;224.5;473.5;100;1.5
Armeria cantabrica;140921-07;Snowbed;1;11;3;27.27;100;0;0;0;100;282;618.5;100;1.585
Armeria duriaei;240821-01;Fellfield;1;25;22;88;100;100;0;0;0;8.11;118;0;0.7
Armeria duriaei;240821-01;Fellfield;2;25;22;88;100;100;0;0;0;7.7;104;0;0.439
Armeria duriaei;240821-01;Fellfield;3;25;24;96;100;100;0;0;0;7.3;104;0;0.25
Armeria duriaei;240821-01;Fellfield;4;25;20;80;100;100;0;0;0;7;104;0;0
Armeria duriaei;240821-01;Snowbed;1;25;21;84;95.24;80.95;0;0;14.29;25;231.5;15;1.59
Armeria duriaei;240821-01;Snowbed;2;25;22;88;100;90.91;0;0;9.09;11.85;121;9.09;1.477
Armeria duriaei;240821-01;Snowbed;3;25;23;92;100;100;0;0;0;7.32;81;0;0.258
Armeria duriaei;240821-01;Snowbed;4;25;22;88;100;100;0;0;0;7.33;81;0;0.267
Armeria duriaei;250821-01;Fellfield;1;25;19;76;100;100;0;0;0;7.6;92;0;0.742
Armeria duriaei;250821-01;Fellfield;2;25;20;80;100;100;0;0;0;6.32;79.5;0;0.286
Armeria duriaei;250821-01;Fellfield;3;24;20;83.33;100;95;0;0;5;6.67;79.5;5;0.569
Armeria duriaei;250821-01;Fellfield;4;25;23;92;100;100;0;0;0;7.67;92;0;0.755
Armeria duriaei;250821-01;Snowbed;1;25;18;72;94.44;77.78;11.11;0;5.56;28.36;216.5;17.64;1.452
Armeria duriaei;250821-01;Snowbed;2;24;20;83.33;100;95;0;0;5;7.5;65.5;5;0.884
Armeria duriaei;250821-01;Snowbed;3;25;23;92;100;100;0;0;0;16.67;136;0;0.932
Armeria duriaei;250821-01;Snowbed;4;25;23;92;100;100;0;0;0;17.63;143.5;0;0.887
Carex sempervirens;130921-02;Fellfield;1;25;20;80;100;0;0;85;15;248.2;729;100;1.923
Carex sempervirens;130921-02;Fellfield;2;25;20;80;100;0;0;95;5;237;615;100;1.461
Carex sempervirens;130921-02;Fellfield;3;25;14;56;92.86;0;0;92.86;0;246.33;707;100;0.89
Carex sempervirens;130921-02;Fellfield;4;24;12;50;100;0;0;83.33;16.67;236;605.5;100;1.551
Carex sempervirens;130921-02;Snowbed;1;25;21;84;100;0;0;0;100;279.9;507;100;1.28
Carex sempervirens;130921-02;Snowbed;2;25;20;80;100;0;0;0;100;282;547.5;100;1.361
Carex sempervirens;130921-02;Snowbed;3;23;20;86.96;100;0;0;0;100;284.8;574.5;100;0.992
Carex sempervirens;130921-02;Snowbed;4;17;12;70.59;91.67;0;0;0;91.67;281;534;100;1.241
Carex sempervirens;310821-13;Fellfield;1;25;24;96;100;0;0;83.33;16.67;250;756;100;2.517
Carex sempervirens;310821-13;Fellfield;2;25;22;88;100;0;0;95.45;4.55;246.83;714;100;2.065
Carex sempervirens;310821-13;Fellfield;3;25;25;100;100;0;0;96;4;248.58;734;100;2.072
Carex sempervirens;310821-13;Fellfield;4;25;19;76;100;0;0;100;0;245.9;704;100;1.557
Carex sempervirens;310821-13;Snowbed;1;25;23;92;100;0;0;0;100;281.83;516;100;0.426
Carex sempervirens;310821-13;Snowbed;2;25;18;72;100;0;0;0;100;290;634.5;100;1.542
Carex sempervirens;310821-13;Snowbed;3;25;25;100;100;0;0;0;100;281.98;516;100;0.064
Carex sempervirens;310821-13;Snowbed;4;24;20;83.33;100;0;0;0;100;281.68;516;100;0.286
Cerastium sp;150721-05;Fellfield;1;25;25;100;24;24;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;2;25;21;84;14.29;14.29;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;3;25;24;96;12.5;12.5;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;4;25;25;100;32;32;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;1;25;25;100;20;20;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;2;25;25;100;20;20;0;0;0;NA;NA;0;0.971
Cerastium sp;150721-05;Snowbed;3;25;25;100;16;16;0;0;0;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;4;25;23;92;26.09;26.09;0;0;0;NA;NA;0;1
Cerastium sp;280721-02;Fellfield;1;25;24;96;83.33;83.33;0;0;0;54.53;881;0;0.811
Cerastium sp;280721-02;Fellfield;2;25;24;96;79.17;75;0;0;4.17;41;694;5.27;1.167
Cerastium sp;280721-02;Fellfield;3;25;22;88;77.27;77.27;0;0;0;45.14;758;0;0.977
Cerastium sp;280721-02;Fellfield;4;25;18;72;100;100;0;0;0;54.65;881;0;0.31
Cerastium sp;280721-02;Snowbed;1;25;23;92;73.91;73.91;0;0;0;52.28;810.5;0;0.998
Cerastium sp;280721-02;Snowbed;2;25;20;80;100;100;0;0;0;43.64;711;0;0.993
Cerastium sp;280721-02;Snowbed;3;25;24;96;83.33;83.33;0;0;0;46.8;747.5;0;1
Cerastium sp;280721-02;Snowbed;4;25;19;76;94.74;94.74;0;0;0;49.46;779;0;0.918
Conopodium majus;240821-03;Fellfield;1;25;6;24;83.33;0;33.33;50;0;216.5;615;100;1.522
Conopodium majus;240821-03;Fellfield;2;25;6;24;100;0;50;50;0;213;604.5;100;1.459
